gene_id,gene_symbol,gene_name,Species
46270,ABHD6,abhydrolase domain containing 6,Human
46271,ABHD8,abhydrolase domain containing 8,Human
46272,ABHD10,abhydrolase domain containing 10,Human
46273,ABHD11,abhydrolase domain containing 11,Human
46274,ABHD11-AS1,ABHD11 antisense RNA 1 (tail to tail),Human
46276,ABHD12,abhydrolase domain containing 12,Human
46277,ABHD12B,abhydrolase domain containing 12B,Human
46278,ABHD13,abhydrolase domain containing 13,Human
46279,ABHD14A,abhydrolase domain containing 14A,Human
46280,ABHD14A-ACY1,ABHD14A-ACY1 readthrough,Human
46281,ABHD14B,abhydrolase domain containing 14B,Human
46282,ABHD15,abhydrolase domain containing 15,Human
46283,ABHD15-AS1,ABHD15 antisense RNA 1,Human
46284,ABHD16A,abhydrolase domain containing 16A,Human
46285,ABHD16B,abhydrolase domain containing 16B,Human
46286,ABHD17A,abhydrolase domain containing 17A,Human
46287,ABHD17AP1,abhydrolase domain containing 17A pseudogene 1,Human
46289,ABHD17AP3,abhydrolase domain containing 17A pseudogene 3,Human
46290,ABHD17AP4,abhydrolase domain containing 17A pseudogene P4,Human
46291,ABHD17AP5,abhydrolase domain containing 17A pseudogene 5,Human
46292,ABHD17AP6,abhydrolase domain containing 17A pseudogene 6,Human
46293,ABHD17AP7,abhydrolase domain containing 17A pseudogene 7,Human
46294,ABHD17AP8,abhydrolase domain containing 17A pseudogene 8,Human
46295,ABHD17AP9,abhydrolase domain containing 17A pseudogene 9,Human
46296,ABHD17B,abhydrolase domain containing 17B,Human
46297,ABHD17C,abhydrolase domain containing 17C,Human
46298,ABHD18,abhydrolase domain containing 18,Human
46299,ABI1,abl interactor 1,Human
46300,ABI1P1,abl interactor 1 pseudogene 1,Human
46301,ABI2,abl interactor 2,Human
46302,ABI3,ABI family member 3,Human
46303,ABI3BP,ABI family member 3 binding protein,Human
46304,ABITRAM,actin binding transcription modulator,Human
46305,ABITRAMP1,ABITRAM pseudogene 1,Human
46306,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",Human
46307,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",Human
46308,ABLIM1,actin binding LIM protein 1,Human
46309,ABLIM2,actin binding LIM protein family member 2,Human
46310,ABLIM3,actin binding LIM protein family member 3,Human
46311,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",Human
46312,ABR,ABR activator of RhoGEF and GTPase,Human
46313,ABRA,actin binding Rho activating protein,Human
46314,ABRACL,ABRA C-terminal like,Human
46315,ABRAXAS1,"abraxas 1, BRCA1 A complex subunit",Human
46316,ABRAXAS2,"abraxas 2, BRISC complex subunit",Human
46317,ABT1,activator of basal transcription 1,Human
46318,ABT1P1,activator of basal transcription 1 pseudogene 1,Human
46319,ABTB1,ankyrin repeat and BTB domain containing 1,Human
46320,ABTB2,ankyrin repeat and BTB domain containing 2,Human
46321,ACAA1,acetyl-CoA acyltransferase 1,Human
46322,ACAA2,acetyl-CoA acyltransferase 2,Human
46323,ACACA,acetyl-CoA carboxylase alpha,Human
46324,ACACB,acetyl-CoA carboxylase beta,Human
46326,ACAD8,acyl-CoA dehydrogenase family member 8,Human
46327,ACAD9,acyl-CoA dehydrogenase family member 9,Human
46328,ACAD10,acyl-CoA dehydrogenase family member 10,Human
46329,ACAD11,acyl-CoA dehydrogenase family member 11,Human
46330,ACADL,acyl-CoA dehydrogenase long chain,Human
46331,ACADM,acyl-CoA dehydrogenase medium chain,Human
46332,ACADS,acyl-CoA dehydrogenase short chain,Human
46333,ACADSB,acyl-CoA dehydrogenase short/branched chain,Human
46334,ACADVL,acyl-CoA dehydrogenase very long chain,Human
46335,ACAN,aggrecan,Human
46336,ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",Human
46337,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",Human
46338,ACAP2-IT1,ACAP2 intronic transcript 1,Human
46339,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",Human
46340,ACAT1,acetyl-CoA acetyltransferase 1,Human
46341,ACAT2,acetyl-CoA acetyltransferase 2,Human
46342,ACBD3,acyl-CoA binding domain containing 3,Human
46343,ACBD3-AS1,ACBD3 antisense RNA 1,Human
46344,ACBD4,acyl-CoA binding domain containing 4,Human
46345,ACBD5,acyl-CoA binding domain containing 5,Human
46346,ACBD6,acyl-CoA binding domain containing 6,Human
46347,ACBD7,acyl-CoA binding domain containing 7,Human
46352,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),Human
46353,ACCSL,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,Human
46354,ACD,ACD shelterin complex subunit and telomerase recruitment factor,Human
46355,ACE,angiotensin I converting enzyme,Human
46356,ACE2,angiotensin I converting enzyme 2,Human
46357,ACE3P,"angiotensin I converting enzyme 3, pseudogene",Human
46358,ACER1,alkaline ceramidase 1,Human
46359,ACER2,alkaline ceramidase 2,Human
46360,ACER3,alkaline ceramidase 3,Human
46363,ACHE,acetylcholinesterase (Cartwright blood group),Human
46369,ACIN1,apoptotic chromatin condensation inducer 1,Human
46370,ACKR1,atypical chemokine receptor 1 (Duffy blood group),Human
46371,ACKR2,atypical chemokine receptor 2,Human
46372,ACKR3,atypical chemokine receptor 3,Human
46373,ACKR4,atypical chemokine receptor 4,Human
46375,ACLY,ATP citrate lyase,Human
46377,ACMSD,aminocarboxymuconate semialdehyde decarboxylase,Human
46378,ACNATP,acyl-CoA:amino acid N-acyltransferase pseudogene,Human
46379,ACO1,aconitase 1,Human
46380,ACO2,aconitase 2,Human
46381,ACOD1,aconitate decarboxylase 1,Human
46382,ACOT1,acyl-CoA thioesterase 1,Human
46383,ACOT2,acyl-CoA thioesterase 2,Human
46384,ACOT4,acyl-CoA thioesterase 4,Human
46385,ACOT6,acyl-CoA thioesterase 6,Human
46386,ACOT7,acyl-CoA thioesterase 7,Human
46387,ACOT8,acyl-CoA thioesterase 8,Human
46388,ACOT9,acyl-CoA thioesterase 9,Human
46389,ACOT11,acyl-CoA thioesterase 11,Human
46390,ACOT12,acyl-CoA thioesterase 12,Human
46391,ACOT13,acyl-CoA thioesterase 13,Human
46392,ACOX1,acyl-CoA oxidase 1,Human
46393,ACOX2,acyl-CoA oxidase 2,Human
46394,ACOX3,"acyl-CoA oxidase 3, pristanoyl",Human
46395,ACOXL,acyl-CoA oxidase like,Human
46396,ACOXL-AS1,ACOXL antisense RNA 1,Human
46397,ACP1,acid phosphatase 1,Human
46398,ACP2,"acid phosphatase 2, lysosomal",Human
46399,ACP4,acid phosphatase 4,Human
46400,ACP5,"acid phosphatase 5, tartrate resistant",Human
46401,ACP6,"acid phosphatase 6, lysophosphatidic",Human
46402,ACP7,"acid phosphatase 7, tartrate resistant (putative)",Human
46403,ACPP,"acid phosphatase, prostate",Human
46404,ACR,acrosin,Human
46405,ACRBP,acrosin binding protein,Human
46406,ACRV1,acrosomal vesicle protein 1,Human
46408,ACSBG1,acyl-CoA synthetase bubblegum family member 1,Human
46409,ACSBG2,acyl-CoA synthetase bubblegum family member 2,Human
46410,ACSF2,acyl-CoA synthetase family member 2,Human
46411,ACSF3,acyl-CoA synthetase family member 3,Human
46412,ACSL1,acyl-CoA synthetase long chain family member 1,Human
46413,ACSL3,acyl-CoA synthetase long chain family member 3,Human
46414,ACSL4,acyl-CoA synthetase long chain family member 4,Human
46415,ACSL5,acyl-CoA synthetase long chain family member 5,Human
46416,ACSL6,acyl-CoA synthetase long chain family member 6,Human
46417,ACSM1,acyl-CoA synthetase medium chain family member 1,Human
46418,ACSM2A,acyl-CoA synthetase medium chain family member 2A,Human
46419,ACSM2B,acyl-CoA synthetase medium chain family member 2B,Human
46420,ACSM3,acyl-CoA synthetase medium chain family member 3,Human
46421,ACSM4,acyl-CoA synthetase medium chain family member 4,Human
46422,ACSM5,acyl-CoA synthetase medium chain family member 5,Human
46423,ACSM5P1,acyl-CoA synthetase medium chain family member 5 pseudogene 1,Human
46424,ACSM6,acyl-CoA synthetase medium chain family member 6,Human
46425,ACSS1,acyl-CoA synthetase short chain family member 1,Human
46426,ACSS2,acyl-CoA synthetase short chain family member 2,Human
46427,ACSS3,acyl-CoA synthetase short chain family member 3,Human
46428,ACTA1,"actin alpha 1, skeletal muscle",Human
46429,ACTA2,"actin alpha 2, smooth muscle",Human
46430,ACTA2-AS1,ACTA2 antisense RNA 1,Human
46432,ACTB,actin beta,Human
46433,ACTBL2,actin beta like 2,Human
46434,ACTBP1,ACTB pseudogene 1,Human
46435,ACTBP2,ACTB pseudogene 2,Human
46439,ACTBP6,ACTB pseudogene 6,Human
46440,ACTBP7,ACTB pseudogene 7,Human
46441,ACTBP8,ACTB pseudogene 8,Human
46442,ACTBP9,ACTB pseudogene 9,Human
46444,ACTBP11,ACTB pseudogene 11,Human
46445,ACTBP12,ACTB pseudogene 12,Human
46446,ACTBP13,ACTB pseudogene 13,Human
46447,ACTBP14,ACTB pseudogene 14,Human
46448,ACTC1,actin alpha cardiac muscle 1,Human
46449,ACTG1,actin gamma 1,Human
46450,ACTG1P1,actin gamma 1 pseudogene 1,Human
46451,ACTG1P2,actin gamma 1 pseudogene 2,Human
46452,ACTG1P3,actin gamma 1 pseudogene 3,Human
46453,ACTG1P4,actin gamma 1 pseudogene 4,Human
46457,ACTG1P9,actin gamma 1 pseudogene 9,Human
46458,ACTG1P10,actin gamma 1 pseudogene 10,Human
46459,ACTG1P11,actin gamma 1 pseudogene 11,Human
46460,ACTG1P12,actin gamma 1 pseudogene 12,Human
46461,ACTG1P13,actin gamma 1 pseudogene 13,Human
46462,ACTG1P14,actin gamma 1 pseudogene 14,Human
46463,ACTG1P15,actin gamma 1 pseudogene 15,Human
46464,ACTG1P16,actin gamma 1 pseudogene 16,Human
46465,ACTG1P17,actin gamma 1 pseudogene 17,Human
46466,ACTG1P18,actin gamma 1 pseudogene 18,Human
46467,ACTG1P19,actin gamma 1 pseudogene 19,Human
46468,ACTG1P20,actin gamma 1 pseudogene 20,Human
46469,ACTG1P21,actin gamma 1 pseudogene 21,Human
46470,ACTG1P22,actin gamma 1 pseudogene 22,Human
46471,ACTG1P23,actin gamma 1 pseudogene 23,Human
46472,ACTG1P24,actin gamma 1 pseudogene 24,Human
46473,ACTG2,"actin gamma 2, smooth muscle",Human
46478,ACTL6A,actin like 6A,Human
46479,ACTL6B,actin like 6B,Human
46480,ACTL7A,actin like 7A,Human
46481,ACTL7B,actin like 7B,Human
46482,ACTL8,actin like 8,Human
46483,ACTL9,actin like 9,Human
46484,ACTL10,actin like 10,Human
46485,ACTN1,actinin alpha 1,Human
46486,ACTN1-AS1,ACTN1 antisense RNA 1,Human
46487,ACTN2,actinin alpha 2,Human
46488,ACTN3,actinin alpha 3 (gene/pseudogene),Human
46489,ACTN4,actinin alpha 4,Human
46490,ACTN4P1,actinin alpha 4 pseudogene 1,Human
46491,ACTN4P2,actinin alpha 4 pseudogene 2,Human
46492,ACTP1,actin family pseudogene 1,Human
46493,ACTR1A,actin related protein 1A,Human
46494,ACTR1B,actin related protein 1B,Human
46495,ACTR2,actin related protein 2,Human
46496,ACTR3,actin related protein 3,Human
46498,ACTR3B,actin related protein 3B,Human
46499,ACTR3BP1,ACTR3B pseudogene 1,Human
46500,ACTR3BP2,ACTR3B pseudogene 2,Human
46501,ACTR3BP3,ACTR3B pseudogene 3,Human
46502,ACTR3BP4,ACTR3B pseudogene 4,Human
46503,ACTR3BP5,ACTR3B pseudogene 5,Human
46504,ACTR3BP6,ACTR3B pseudogene 6,Human
46505,ACTR3C,actin related protein 3C,Human
46507,ACTR3P2,ACTR3 pseudogene 2,Human
46508,ACTR3P3,ACTR3 pseudogene 3,Human
46509,ACTR5,actin related protein 5,Human
46510,ACTR6,actin related protein 6,Human
46511,ACTR6P1,ACTR6 pseudogene 1,Human
46512,ACTR8,actin related protein 8,Human
46513,ACTR10,actin related protein 10,Human
46514,ACTRT1,actin related protein T1,Human
46515,ACTRT2,actin related protein T2,Human
46516,ACTRT3,actin related protein T3,Human
46517,ACVR1,activin A receptor type 1,Human
46518,ACVR1B,activin A receptor type 1B,Human
46519,ACVR1C,activin A receptor type 1C,Human
46520,ACVR2A,activin A receptor type 2A,Human
46521,ACVR2B,activin A receptor type 2B,Human
46522,ACVR2B-AS1,ACVR2B antisense RNA 1,Human
46523,ACVRL1,activin A receptor like type 1,Human
46525,ACY1,aminoacylase 1,Human
46527,ACY3,aminoacylase 3,Human
46528,ACYP1,acylphosphatase 1,Human
46529,ACYP2,acylphosphatase 2,Human
46535,ADA,adenosine deaminase,Human
46536,ADA2,adenosine deaminase 2,Human
46537,ADAD1,adenosine deaminase domain containing 1,Human
46539,ADAD1P2,adenosine deaminase domain containing 1 pseudogene 2,Human
46540,ADAD2,adenosine deaminase domain containing 2,Human
46541,ADAL,adenosine deaminase like,Human
46542,ADAM1A,ADAM metallopeptidase domain 1A (pseudogene),Human
46543,ADAM1B,ADAM metallopeptidase domain 1B (pseudogene),Human
46544,ADAM2,ADAM metallopeptidase domain 2,Human
46545,ADAM3A,ADAM metallopeptidase domain 3A (pseudogene),Human
46546,ADAM3B,ADAM metallopeptidase domain 3B (pseudogene),Human
46547,ADAM5,ADAM metallopeptidase domain 5 (pseudogene),Human
46548,ADAM6,ADAM metallopeptidase domain 6 (pseudogene),Human
46549,ADAM7,ADAM metallopeptidase domain 7,Human
46550,ADAM8,ADAM metallopeptidase domain 8,Human
46551,ADAM9,ADAM metallopeptidase domain 9,Human
46552,ADAM10,ADAM metallopeptidase domain 10,Human
46553,ADAM11,ADAM metallopeptidase domain 11,Human
46554,ADAM12,ADAM metallopeptidase domain 12,Human
46556,ADAM15,ADAM metallopeptidase domain 15,Human
46557,ADAM17,ADAM metallopeptidase domain 17,Human
46558,ADAM18,ADAM metallopeptidase domain 18,Human
46559,ADAM19,ADAM metallopeptidase domain 19,Human
46560,ADAM20,ADAM metallopeptidase domain 20,Human
46561,ADAM20P1,ADAM metallopeptidase domain 20 pseudogene 1,Human
46562,ADAM20P2,ADAM metallopeptidase domain 20 pseudogene 2,Human
46563,ADAM20P3,ADAM metallopeptidase domain 20 pseudogene 3,Human
46564,ADAM21,ADAM metallopeptidase domain 21,Human
46565,ADAM21P1,ADAM metallopeptidase domain 21 pseudogene 1,Human
46566,ADAM22,ADAM metallopeptidase domain 22,Human
46567,ADAM23,ADAM metallopeptidase domain 23,Human
46568,ADAM24P,"ADAM metallopeptidase domain 24, pseudogene",Human
46569,ADAM28,ADAM metallopeptidase domain 28,Human
46570,ADAM29,ADAM metallopeptidase domain 29,Human
46571,ADAM30,ADAM metallopeptidase domain 30,Human
46572,ADAM32,ADAM metallopeptidase domain 32,Human
46573,ADAM33,ADAM metallopeptidase domain 33,Human
46574,ADAMDEC1,ADAM like decysin 1,Human
46575,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,Human
46576,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,Human
46577,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3,Human
46578,ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,Human
46579,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,Human
46580,ADAMTS6,ADAM metallopeptidase with thrombospondin type 1 motif 6,Human
46581,ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7,Human
46582,ADAMTS7P1,ADAMTS7 pseudogene 1,Human
46584,ADAMTS7P3,ADAMTS7 pseudogene 3,Human
46585,ADAMTS7P4,ADAMTS7 pseudogene 4,Human
46586,ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8,Human
46587,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,Human
46588,ADAMTS9-AS1,ADAMTS9 antisense RNA 1,Human
46589,ADAMTS9-AS2,ADAMTS9 antisense RNA 2,Human
46590,ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif 10,Human
46591,ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12,Human
46592,ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,Human
46593,ADAMTS14,ADAM metallopeptidase with thrombospondin type 1 motif 14,Human
46594,ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15,Human
46595,ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16,Human
46596,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,Human
46597,ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18,Human
46598,ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19,Human
46599,ADAMTS19-AS1,ADAMTS19 antisense RNA 1,Human
46600,ADAMTS20,ADAM metallopeptidase with thrombospondin type 1 motif 20,Human
46602,ADAMTSL1,ADAMTS like 1,Human
46603,ADAMTSL2,ADAMTS like 2,Human
46604,ADAMTSL3,ADAMTS like 3,Human
46605,ADAMTSL4,ADAMTS like 4,Human
46606,ADAMTSL4-AS1,ADAMTSL4 antisense RNA 1,Human
46607,ADAMTSL5,ADAMTS like 5,Human
46608,ADAP1,ArfGAP with dual PH domains 1,Human
46609,ADAP2,ArfGAP with dual PH domains 2,Human
46610,ADAR,adenosine deaminase RNA specific,Human
46611,ADARB1,adenosine deaminase RNA specific B1,Human
46612,ADARB2,adenosine deaminase RNA specific B2 (inactive),Human
46613,ADARB2-AS1,ADARB2 antisense RNA 1,Human
46614,ADAT1,adenosine deaminase tRNA specific 1,Human
46615,ADAT2,adenosine deaminase tRNA specific 2,Human
46616,ADAT3,adenosine deaminase tRNA specific 3,Human
46617,ADCK1,aarF domain containing kinase 1,Human
46618,ADCK2,aarF domain containing kinase 2,Human
46619,ADCK5,aarF domain containing kinase 5,Human
46623,ADCY1,adenylate cyclase 1,Human
46624,ADCY2,adenylate cyclase 2,Human
46625,ADCY3,adenylate cyclase 3,Human
46626,ADCY4,adenylate cyclase 4,Human
46627,ADCY5,adenylate cyclase 5,Human
46628,ADCY6,adenylate cyclase 6,Human
46629,ADCY7,adenylate cyclase 7,Human
46630,ADCY8,adenylate cyclase 8,Human
46631,ADCY9,adenylate cyclase 9,Human
46632,ADCY10,adenylate cyclase 10,Human
46633,ADCY10P1,ADCY10 pseudogene 1,Human
46634,ADCYAP1,adenylate cyclase activating polypeptide 1,Human
46635,ADCYAP1R1,ADCYAP receptor type I,Human
46636,ADD1,adducin 1,Human
46637,ADD2,adducin 2,Human
46638,ADD3,adducin 3,Human
46639,ADD3-AS1,ADD3 antisense RNA 1,Human
46642,ADGB,androglobin,Human
46643,ADGRA1,adhesion G protein-coupled receptor A1,Human
46644,ADGRA1-AS1,adhesion G protein-coupled receptor A1 antisense RNA 1,Human
46645,ADGRA2,adhesion G protein-coupled receptor A2,Human
46646,ADGRA3,adhesion G protein-coupled receptor A3,Human
46647,ADGRB1,adhesion G protein-coupled receptor B1,Human
46648,ADGRB2,adhesion G protein-coupled receptor B2,Human
46649,ADGRB3,adhesion G protein-coupled receptor B3,Human
46650,ADGRD1,adhesion G protein-coupled receptor D1,Human
46651,ADGRD1-AS1,ADGRD1 antisense RNA 1,Human
46652,ADGRD2,adhesion G protein-coupled receptor D2,Human
46653,ADGRE1,adhesion G protein-coupled receptor E1,Human
46654,ADGRE2,adhesion G protein-coupled receptor E2,Human
46655,ADGRE3,adhesion G protein-coupled receptor E3,Human
46656,ADGRE4P,"adhesion G protein-coupled receptor E4, pseudogene",Human
46657,ADGRE5,adhesion G protein-coupled receptor E5,Human
46658,ADGRF1,adhesion G protein-coupled receptor F1,Human
46659,ADGRF2,adhesion G protein-coupled receptor F2,Human
46660,ADGRF3,adhesion G protein-coupled receptor F3,Human
46661,ADGRF4,adhesion G protein-coupled receptor F4,Human
46662,ADGRF5,adhesion G protein-coupled receptor F5,Human
46663,ADGRF5P1,adhesion G protein-coupled receptor F5 pseudogene 1,Human
46664,ADGRF5P2,adhesion G protein-coupled receptor F5 pseudogene 2,Human
46665,ADGRG1,adhesion G protein-coupled receptor G1,Human
46666,ADGRG2,adhesion G protein-coupled receptor G2,Human
46667,ADGRG3,adhesion G protein-coupled receptor G3,Human
46668,ADGRG4,adhesion G protein-coupled receptor G4,Human
46669,ADGRG5,adhesion G protein-coupled receptor G5,Human
46670,ADGRG6,adhesion G protein-coupled receptor G6,Human
46671,ADGRG7,adhesion G protein-coupled receptor G7,Human
46672,ADGRL1,adhesion G protein-coupled receptor L1,Human
46673,ADGRL2,adhesion G protein-coupled receptor L2,Human
46674,ADGRL3,adhesion G protein-coupled receptor L3,Human
46675,ADGRL3-AS1,adhesion G protein-coupled receptor L3 antisense RNA 1,Human
46676,ADGRL4,adhesion G protein-coupled receptor L4,Human
46677,ADGRV1,adhesion G protein-coupled receptor V1,Human
46678,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",Human
46679,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",Human
46680,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",Human
46681,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",Human
46682,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",Human
46684,ADH5P2,ADH5 pseudogene 2,Human
46685,ADH5P3,ADH5 pseudogene 3,Human
46686,ADH5P4,ADH5 pseudogene 4,Human
